,entityName,state,year,quarter,count,amount
129,744104,andaman-&-nicobar-islands,2020,2,1840,3334591.822304932
130,south andaman,andaman-&-nicobar-islands,2020,3,95323,282366109.20523936
131,north and middle andaman,andaman-&-nicobar-islands,2020,3,16747,33486883.37042556
132,nicobars,andaman-&-nicobar-islands,2020,3,5413,22166453.754695382
133,744101,andaman-&-nicobar-islands,2020,3,24386,100439119.66860783
134,744103,andaman-&-nicobar-islands,2020,3,21272,60332278.69396809
135,744105,andaman-&-nicobar-islands,2020,3,17166,44061506.56273589
136,744102,andaman-&-nicobar-islands,2020,3,13934,43077189.842844136
137,744202,andaman-&-nicobar-islands,2020,3,5779,11975748.707876923
138,744107,andaman-&-nicobar-islands,2020,3,4753,7628018.669464628
139,744104,andaman-&-nicobar-islands,2020,3,3468,7353834.51320935
140,744112,andaman-&-nicobar-islands,2020,3,3422,6067986.696111794
141,744301,andaman-&-nicobar-islands,2020,3,3071,13352610.531559702
142,744205,andaman-&-nicobar-islands,2020,3,2991,7535645.788593667
143,south andaman,andaman-&-nicobar-islands,2020,4,186494,523122462.883029
144,north and middle andaman,andaman-&-nicobar-islands,2020,4,29349,68941322.38839513
145,nicobars,andaman-&-nicobar-islands,2020,4,8688,35218871.04342848
146,744103,andaman-&-nicobar-islands,2020,4,46884,138264791.5489212
147,744101,andaman-&-nicobar-islands,2020,4,40392,136401368.02166596
148,744105,andaman-&-nicobar-islands,2020,4,34410,87838226.93633425
149,744102,andaman-&-nicobar-islands,2020,4,26694,76348598.32238364
150,744202,andaman-&-nicobar-islands,2020,4,10949,25543799.074759968
151,744107,andaman-&-nicobar-islands,2020,4,9743,18083250.19055397
152,744104,andaman-&-nicobar-islands,2020,4,7654,19126095.533284884
153,744112,andaman-&-nicobar-islands,2020,4,7016,15890275.050448488
154,744205,andaman-&-nicobar-islands,2020,4,5118,12002695.281042248
155,744201,andaman-&-nicobar-islands,2020,4,5011,6777275.536669218
156,south andaman,andaman-&-nicobar-islands,2021,1,207092,669604045.1248703
157,north and middle andaman,andaman-&-nicobar-islands,2021,1,27358,75027255.27919498
158,nicobars,andaman-&-nicobar-islands,2021,1,10302,39075266.9856904
159,744101,andaman-&-nicobar-islands,2021,1,55726,190830957.0606181
160,744103,andaman-&-nicobar-islands,2021,1,47328,158404100.7854989
161,744105,andaman-&-nicobar-islands,2021,1,35467,111571687.43195169
162,744102,andaman-&-nicobar-islands,2021,1,23957,80750048.8238959
163,744211,andaman-&-nicobar-islands,2021,1,10648,34956327.94105429
164,744202,andaman-&-nicobar-islands,2021,1,10597,28127629.877961583
165,744107,andaman-&-nicobar-islands,2021,1,8848,19627951.469969153
166,744104,andaman-&-nicobar-islands,2021,1,8799,27854306.51949638
167,744112,andaman-&-nicobar-islands,2021,1,7113,21084790.0528014
168,744301,andaman-&-nicobar-islands,2021,1,5630,22671937.31314759
169,south andaman,andaman-&-nicobar-islands,2021,2,286907,760893020.5704947
170,north and middle andaman,andaman-&-nicobar-islands,2021,2,39200,90233388.79463303
