,name,state,year,quarter,count,amount
170,Recharge & bill payments,arunachal-pradesh,2018,1,28729,5184132.514934338
171,Peer-to-peer payments,arunachal-pradesh,2018,1,13320,82889682.72418305
172,Merchant payments,arunachal-pradesh,2018,1,1042,2420374.1905855755
173,Financial Services,arunachal-pradesh,2018,1,416,58893.76201533088
174,Others,arunachal-pradesh,2018,1,1990,1834252.8176908877
175,Recharge & bill payments,arunachal-pradesh,2018,2,50700,10468878.537107183
176,Peer-to-peer payments,arunachal-pradesh,2018,2,26477,181576281.19464755
177,Merchant payments,arunachal-pradesh,2018,2,2378,4718953.439561011
178,Financial Services,arunachal-pradesh,2018,2,559,363761.80159549194
179,Others,arunachal-pradesh,2018,2,2043,1842317.3691352482
180,Recharge & bill payments,arunachal-pradesh,2018,3,74122,15997565.906016497
181,Peer-to-peer payments,arunachal-pradesh,2018,3,49740,308106303.45342577
182,Merchant payments,arunachal-pradesh,2018,3,4738,5505694.567913429
183,Financial Services,arunachal-pradesh,2018,3,507,72133.845254878
184,Others,arunachal-pradesh,2018,3,2039,2044708.9687807972
185,Recharge & bill payments,arunachal-pradesh,2018,4,97751,20662691.882313278
186,Peer-to-peer payments,arunachal-pradesh,2018,4,68169,468831493.2328036
187,Merchant payments,arunachal-pradesh,2018,4,7726,11998974.1040326
188,Financial Services,arunachal-pradesh,2018,4,561,100597.90379906222
189,Others,arunachal-pradesh,2018,4,2222,2446271.9688117937
190,Recharge & bill payments,arunachal-pradesh,2019,1,121303,26796894.998233315
191,Peer-to-peer payments,arunachal-pradesh,2019,1,93494,568554821.4456317
192,Merchant payments,arunachal-pradesh,2019,1,9214,11727218.401334248
193,Financial Services,arunachal-pradesh,2019,1,256,140622.87093631705
194,Others,arunachal-pradesh,2019,1,2239,2730548.5978140826
195,Recharge & bill payments,arunachal-pradesh,2019,2,131988,30420803.41271234
196,Peer-to-peer payments,arunachal-pradesh,2019,2,106527,704237943.4054435
197,Merchant payments,arunachal-pradesh,2019,2,16828,13955724.130712911
198,Financial Services,arunachal-pradesh,2019,2,267,160660.8821362781
199,Others,arunachal-pradesh,2019,2,3046,3880742.524023137
200,Recharge & bill payments,arunachal-pradesh,2019,3,216228,50946104.94289842
201,Peer-to-peer payments,arunachal-pradesh,2019,3,133484,841037395.2474606
202,Merchant payments,arunachal-pradesh,2019,3,16900,17178248.07427002
203,Financial Services,arunachal-pradesh,2019,3,864,64089.11350267195
204,Others,arunachal-pradesh,2019,3,2758,3419197.4177385764
205,Recharge & bill payments,arunachal-pradesh,2019,4,259183,63516906.09060433
206,Peer-to-peer payments,arunachal-pradesh,2019,4,177833,1100137447.9340453
207,Merchant payments,arunachal-pradesh,2019,4,19769,23192271.691576812
208,Financial Services,arunachal-pradesh,2019,4,314,305379.7987782319
209,Others,arunachal-pradesh,2019,4,2376,3421174.01227797
210,Recharge & bill payments,arunachal-pradesh,2020,1,329834,86011654.77474582
211,Peer-to-peer payments,arunachal-pradesh,2020,1,203429,1263912288.4066367
212,Merchant payments,arunachal-pradesh,2020,1,31181,28553052.133918796
213,Financial Services,arunachal-pradesh,2020,1,470,337812.94816169393
214,Others,arunachal-pradesh,2020,1,2261,2943873.0666838237
215,Recharge & bill payments,arunachal-pradesh,2020,2,522495,145198528.22961134
216,Peer-to-peer payments,arunachal-pradesh,2020,2,247861,1630654426.0441835
217,Merchant payments,arunachal-pradesh,2020,2,35169,46446966.612447515
218,Financial Services,arunachal-pradesh,2020,2,1310,2655507.6964110374
219,Others,arunachal-pradesh,2020,2,1939,1761404.4023099935
220,Recharge & bill payments,arunachal-pradesh,2020,3,514907,153463816.21184397
221,Peer-to-peer payments,arunachal-pradesh,2020,3,370418,2361603431.37578
222,Merchant payments,arunachal-pradesh,2020,3,72736,88145178.69272713
223,Financial Services,arunachal-pradesh,2020,3,1761,4030599.9171272423
224,Others,arunachal-pradesh,2020,3,3005,2695539.3607389224
225,Peer-to-peer payments,arunachal-pradesh,2020,4,522019,3254744938.4105625
226,Recharge & bill payments,arunachal-pradesh,2020,4,513895,152389181.21743062
227,Merchant payments,arunachal-pradesh,2020,4,167387,156682926.02384603
228,Financial Services,arunachal-pradesh,2020,4,1749,2391651.8783250954
229,Others,arunachal-pradesh,2020,4,4079,4055324.315454754
230,Peer-to-peer payments,arunachal-pradesh,2021,1,566209,3460488558.9436507
231,Recharge & bill payments,arunachal-pradesh,2021,1,450649,142358376.9003836
232,Merchant payments,arunachal-pradesh,2021,1,155966,204958020.0891498
233,Financial Services,arunachal-pradesh,2021,1,1558,2672460.4740365944
234,Others,arunachal-pradesh,2021,1,3074,3301662.6094231335
235,Peer-to-peer payments,arunachal-pradesh,2021,2,762946,4000960152.0755496
236,Recharge & bill payments,arunachal-pradesh,2021,2,556680,165579844.25105897
237,Merchant payments,arunachal-pradesh,2021,2,243375,283709438.5363142
238,Financial Services,arunachal-pradesh,2021,2,1582,2761076.7934988844
239,Others,arunachal-pradesh,2021,2,3755,3415105.3379601175
240,Peer-to-peer payments,arunachal-pradesh,2021,3,986088,5033603845.032885
241,Recharge & bill payments,arunachal-pradesh,2021,3,600102,187390578.30403775
242,Merchant payments,arunachal-pradesh,2021,3,314658,449869060.7842621
243,Financial Services,arunachal-pradesh,2021,3,1934,3348547.8272713376
244,Others,arunachal-pradesh,2021,3,4185,3912143.3503634185
245,Peer-to-peer payments,arunachal-pradesh,2021,4,1227616,6022733378.120082
246,Recharge & bill payments,arunachal-pradesh,2021,4,633248,207784816.33218512
247,Merchant payments,arunachal-pradesh,2021,4,521447,704195694.9939187
248,Financial Services,arunachal-pradesh,2021,4,2386,3933557.2795471298
249,Others,arunachal-pradesh,2021,4,5901,4862905.885615055
250,Peer-to-peer payments,arunachal-pradesh,2022,1,1403584,6670641250.45945
251,Merchant payments,arunachal-pradesh,2022,1,720803,917155358.7177179
252,Recharge & bill payments,arunachal-pradesh,2022,1,670576,231933129.00412333
253,Financial Services,arunachal-pradesh,2022,1,3053,3359625.792926075
254,Others,arunachal-pradesh,2022,1,6052,5002264.113148138
255,Recharge & bill payments,assam,2018,1,632092,93491181.14056379
256,Peer-to-peer payments,assam,2018,1,318025,993525195.9818655
257,Merchant payments,assam,2018,1,40482,34501622.89266755
258,Financial Services,assam,2018,1,18172,4936862.200688562
259,Others,assam,2018,1,48110,31349593.99668264
260,Recharge & bill payments,assam,2018,2,984160,174427478.21340805
261,Peer-to-peer payments,assam,2018,2,530781,2064314053.1339972
262,Merchant payments,assam,2018,2,79307,73366344.80739225
263,Financial Services,assam,2018,2,22773,7051504.657611102
264,Others,assam,2018,2,46852,31425754.725386057
265,Recharge & bill payments,assam,2018,3,1275136,254569069.32411742
266,Peer-to-peer payments,assam,2018,3,843571,3424136709.5088205
267,Merchant payments,assam,2018,3,159532,96783839.37466942
