,name,registeredUsers,state,year,quarter
172,744103,12268,andaman-&-nicobar-islands,2021,2
173,744105,10668,andaman-&-nicobar-islands,2021,2
174,744101,10120,andaman-&-nicobar-islands,2021,2
175,744102,6837,andaman-&-nicobar-islands,2021,2
176,744202,3261,andaman-&-nicobar-islands,2021,2
177,744107,2783,andaman-&-nicobar-islands,2021,2
178,744104,2573,andaman-&-nicobar-islands,2021,2
179,744112,2083,andaman-&-nicobar-islands,2021,2
180,744211,1904,andaman-&-nicobar-islands,2021,2
181,744205,1626,andaman-&-nicobar-islands,2021,2
182,south andaman,55873,andaman-&-nicobar-islands,2021,3
183,north and middle andaman,9263,andaman-&-nicobar-islands,2021,3
184,nicobars,1846,andaman-&-nicobar-islands,2021,3
185,744103,13198,andaman-&-nicobar-islands,2021,3
186,744105,11480,andaman-&-nicobar-islands,2021,3
187,744101,10866,andaman-&-nicobar-islands,2021,3
188,744102,7313,andaman-&-nicobar-islands,2021,3
189,744202,3543,andaman-&-nicobar-islands,2021,3
190,744107,3027,andaman-&-nicobar-islands,2021,3
191,744104,2777,andaman-&-nicobar-islands,2021,3
192,744112,2250,andaman-&-nicobar-islands,2021,3
193,744211,2055,andaman-&-nicobar-islands,2021,3
194,744205,1771,andaman-&-nicobar-islands,2021,3
195,south andaman,59807,andaman-&-nicobar-islands,2021,4
196,north and middle andaman,10002,andaman-&-nicobar-islands,2021,4
197,nicobars,1971,andaman-&-nicobar-islands,2021,4
198,744103,14127,andaman-&-nicobar-islands,2021,4
199,744105,12300,andaman-&-nicobar-islands,2021,4
200,744101,11623,andaman-&-nicobar-islands,2021,4
201,744102,7813,andaman-&-nicobar-islands,2021,4
202,744202,3815,andaman-&-nicobar-islands,2021,4
203,744107,3247,andaman-&-nicobar-islands,2021,4
204,744104,2962,andaman-&-nicobar-islands,2021,4
205,744112,2411,andaman-&-nicobar-islands,2021,4
206,744211,2200,andaman-&-nicobar-islands,2021,4
207,744205,1902,andaman-&-nicobar-islands,2021,4
