,name,state,year,quarter,count,amount
231,guntur district,andhra-pradesh,2021,2,32968819,82356914463.83287
232,krishna district,andhra-pradesh,2021,2,36370960,90021923049.96454
233,east godavari district,andhra-pradesh,2021,3,39572714,89380370072.7078
234,srikakulam district,andhra-pradesh,2021,3,15639768,34836400769.876816
235,spsr nellore district,andhra-pradesh,2021,3,34411958,77839676988.30869
236,vizianagaram district,andhra-pradesh,2021,3,14510005,31383541628.212524
237,visakhapatnam district,andhra-pradesh,2021,3,69220981,136945652159.26515
238,prakasam district,andhra-pradesh,2021,3,24116580,63367713446.928055
239,anantapur district,andhra-pradesh,2021,3,30366444,70291248155.64975
240,ysr district,andhra-pradesh,2021,3,22439316,60683557724.652336
241,west godavari district,andhra-pradesh,2021,3,26245039,66647238455.1675
242,kurnool district,andhra-pradesh,2021,3,26377809,62527453761.59807
243,chittoor district,andhra-pradesh,2021,3,42628568,89371931753.04831
244,guntur district,andhra-pradesh,2021,3,41675093,96525353090.12305
245,krishna district,andhra-pradesh,2021,3,44828275,104417897558.58972
246,east godavari district,andhra-pradesh,2021,4,48992531,106725597026.00356
247,srikakulam district,andhra-pradesh,2021,4,18501857,39713657870.15512
248,spsr nellore district,andhra-pradesh,2021,4,41921081,92256405076.26547
249,vizianagaram district,andhra-pradesh,2021,4,17253059,36577529464.9687
250,visakhapatnam district,andhra-pradesh,2021,4,82711538,159530099772.73474
251,prakasam district,andhra-pradesh,2021,4,27858275,71323060008.47623
252,anantapur district,andhra-pradesh,2021,4,36129136,81239787006.64764
253,ysr district,andhra-pradesh,2021,4,26340348,69081850069.2033
254,west godavari district,andhra-pradesh,2021,4,33235175,81292461575.08182
255,kurnool district,andhra-pradesh,2021,4,31782248,73968947669.64754
256,chittoor district,andhra-pradesh,2021,4,51119640,103985734663.73514
257,guntur district,andhra-pradesh,2021,4,50919286,115553993673.17337
258,krishna district,andhra-pradesh,2021,4,55489829,125015323207.89836
259,east godavari district,andhra-pradesh,2022,1,54738830,121067103712.79568
260,srikakulam district,andhra-pradesh,2022,1,20990782,46898912115.649216
261,spsr nellore district,andhra-pradesh,2022,1,47645702,104895571602.13988
262,vizianagaram district,andhra-pradesh,2022,1,19278262,41994853361.58879
263,visakhapatnam district,andhra-pradesh,2022,1,88233362,170120350591.26004
264,prakasam district,andhra-pradesh,2022,1,31340975,79494373254.71565
265,anantapur district,andhra-pradesh,2022,1,40613148,90197023268.43825
266,ysr district,andhra-pradesh,2022,1,29783739,78421693518.90942
267,west godavari district,andhra-pradesh,2022,1,37271259,92397939903.60938
268,kurnool district,andhra-pradesh,2022,1,35093633,81568420500.54749
269,chittoor district,andhra-pradesh,2022,1,58561024,117900595508.634
270,guntur district,andhra-pradesh,2022,1,57226996,129673727687.08942
